City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
88,Saint-Philippe,RE,67.59,light rain,-21.3585,55.7679,Le four à pain
92,Hermanus,ZA,61.81,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
94,Bengkulu,ID,75.52,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
96,Ponta Delgada,PT,65.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
99,San Patricio,US,60.75,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
100,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
103,Chuy,UY,70.66,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
104,Rudbar,AF,60.75,clear sky,30.15,62.6,None
105,Wanning,CN,75.36,scattered clouds,18.8003,110.3967,Paradise Hotel
110,Ruteng,ID,62.83,broken clouds,-8.6136,120.4721,Hotel FX 72
112,Alice Springs,AU,69.35,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
117,Port Alfred,ZA,62.19,broken clouds,-33.5906,26.891,The Halyards Hotel & Spa
119,Vila Franca Do Campo,PT,65.19,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
120,Basoko,CD,71.29,overcast clouds,1.2391,23.616,Jackyna Hotel
123,Cidreira,BR,74.86,clear sky,-30.1811,-50.2056,Hotel Castelo
124,Palmerston,AU,76.98,scattered clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
128,Rio Bueno,CL,64.54,overcast clouds,-40.3167,-72.9667,Hostal Caulle
133,Saldanha,ZA,66.25,light rain,-33.0117,17.9442,Blue Bay Lodge
134,Hambantota,LK,77.07,overcast clouds,6.1241,81.1185,Bungalow 63
138,Airai,TL,61.16,broken clouds,-8.9266,125.4092,None
140,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
142,Ban Nahin,LA,72.99,scattered clouds,18.2418,104.2122,None
144,Sao Filipe,CV,75.96,broken clouds,14.8961,-24.4956,Hotel Xaguate
148,Mahon,ES,68.56,few clouds,39.8885,4.2658,ARTIEM Capri
154,Byron Bay,AU,66.94,clear sky,-28.65,153.6167,Backpackers Inn
157,Dunedin,NZ,61.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
160,Bambanglipuro,ID,74.98,overcast clouds,-7.95,110.2833,Puri Brata
166,Manggar,ID,79.2,overcast clouds,-2.8833,108.2667,Guest Hotel
167,Agadir,MA,72.05,few clouds,30.4202,-9.5982,Iberostar Founty Beach
168,Richards Bay,ZA,68.32,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
170,Lompoc,US,70.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
171,Sao Felix Do Xingu,BR,75.49,moderate rain,-6.6447,-51.995,Rio Xingu Camping
172,Coquimbo,CL,69.53,scattered clouds,-29.9533,-71.3436,Hotel San Juan
173,Constitucion,CL,65.53,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
175,East London,ZA,68.2,overcast clouds,-33.0153,27.9116,Tu Casa
176,Malindi,KE,76.95,moderate rain,-3.2175,40.1191,African House Resort
177,Los Llanos De Aridane,ES,73.13,clear sky,28.6585,-17.9182,Valle Aridane
182,Acarau,BR,79.34,few clouds,-2.8856,-40.12,castelo pizzaria
183,Cairns,AU,79.07,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
184,Guerrero Negro,MX,73.45,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
185,Rawson,AR,79.18,clear sky,-43.3002,-65.1023,Hosteria Sampedro
190,Khed Brahma,IN,68.36,clear sky,24.0333,73.05,UMIYA NASTA HOUSE
191,Paita,PE,65.34,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
192,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
193,Menongue,AO,69.28,broken clouds,-14.6585,17.691,Ritz Lauca
195,Avera,US,62.11,overcast clouds,33.194,-82.5271,None
